Codígo;Especie;Conservación ;Colectores;Fecha;País;Provincia;Cantón;Localidad;Latitud (GD);Longitud (GD);Altitud;Sexo;Formula dental;Fosetas basiesfenoideas;Cresta (linea temporal);Observaiones ;Edad;Longitud total (LT);Longitud cabeza cuerpo (LCC);Longitud de la cola (LC);Longitud de la pata (LP);Longitud de la oreja (LO);Trago;Antebrazo (AB);Calcáneo
QCAZ001;Rhynchonycteris naso;Seco;______;28/4/1990;Ecuador;Sto. Domingo ;La Concordia;Bosque protector la Perla;0.00417;-79.3867;220;Hembra;I: 1/3 C: 1/1 P: 2/2 M: 3/3;Ausentes;NA;"Roto piel en mal estado; Identificado por: Diego Tirira";Adulto no reproductivo ;NA;NA;NA;NA;NA;NA;36,36;NA
QCAZ236;Rhynchonycteris naso;Fluido y seco;______;30/4/1990;Ecuador;Sto. Domingo ;La Concordia;Bosque protector la Perla;0.00417;-79.3867;220;Macho;I: 1/3 C: 1/1 P: 2/2 M: 3/3;Ausentes;NA;"Cráneo roto; Identificado por: Pablo Jarrín";Adulto reproductivo;56,32;42,47;13,85;6,74;12,6;3,82;36,23;16,66
QCAZ237;Rhynchonycteris naso;Fluido;______;4/1/1991;Ecuador;Sucumbíos;;R.P.F. Cuyabeno, Zancudococha;-0.597455;-75.4831;185-200;Indeterminado;I: 2/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;"Mandíbula rota; Identificado por: Diego Tirira";Juvenil;38,07;30,48;7,59;6,5;8,89;3,11;24,4;8,93
QCAZ286;Rhynchonycteris naso;Fluido;Diego Tirira;1/4/1992;Ecuador;Sucumbíos;;R.P.F. Cuyabeno, Laguna Grande;-0.0097;-76.1817;220;Hembra;I: 2/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;;Adulto no reproductivo ;51,02;36,41;14,61;6,36;12,86;3,29;36,12;17,1
QCAZ350;Rhynchonycteris naso;Fluido;Diego Tirira;6/7/1992;Ecuador;Sucumbíos;;R.P.F. Cuyabeno, Laguna Grande;-0.0097;-76.1817;220;Macho;I: 1/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;;Adulto no reproductivo ;51,33;37,61;13,72;5,91;12,6;3,62;37,65;18,74
QCAZ585;Rhynchonycteris naso;Fluido;Diego Tirira;1/10/1992;Ecuador;Sucumbíos;;R.P.F. Cuyabeno, Laguna Grande;-0.0097;-76.1817;220;Hembra;I: 2/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;Mandíbula rota;Subadulto;52,55;37,7;14,85;6,98;14,19;3,82;37,01;18,89
QCAZ2156;Rhynchonycteris naso;Fluido;Néstor Acosta;19/11/1996;Ecuador;Esmeraldas;;Borbón, Río Cayapas, Río Chimbocal, Comuna Corriente Grande;0.9152778;-78.9938889;35;Macho;I: 1/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;;Adulto reproductivo;51,75;39,68;12,07;6,59;12,51;3,75;36,81;19,01
QCAZ6959;Rhynchonycteris naso;Seco;David Donoso, Gabriela Toscano;11/3/2004;Ecuador;Sucumbíos;Zábalo;Terrenos aledaños (al oeste) de la Comunidad de Zábalo, propiedad de la Familia Criollo;-0.31812;-75.7662;233;Macho;I: 1 ;Ausentes;NA;Maxila rota y sin mandíbula;Adulto no reproductivo ;52,43;42,17;10,26;6,12;14,01;3,61;37,33;21,1
QCAZ6990;Rhynchonycteris naso;Fluido y seco;David Donoso, Gabriela Toscano;12/3/2004;Ecuador;Sucumbíos;Zábalo;Terrenos aledaños (al oeste) de la Comunidad de Zábalo, propiedad de la Familia Criollo;-0.31812;-75.7662;233;Hembra;I: 2/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;;Adulto no reproductivo ;45,48;32,63;12,85;6,13;14,1;3,9;34,49;16,02
QCAZ8900;Rhynchonycteris naso;Fluido;Felipe Moscoso;28/5/2007;Ecuador;Los Ríos;;Recinto Corriente Grande, Sector La Isla, sobre el Río Baba;-0.6726180606799376;-79.3958426455078;___;Hembra;I: 1/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;;Adulto no reproductivo ;47,92;36,9;11,02;6,6;14,06;3,62;34,2;16,54
QCAZ8905;Rhynchonycteris naso;Fluido;Felipe Moscoso;28/5/2007;Ecuador;Los Ríos;;Recinto Corriente Grande, Sector La Isla, sobre el Río Baba;-0.6726180606799376;-79.3958426455078;___;Hembra;I: 1/3 C: 1/1 P: 2/2 M: 3/3;NA;Presentes;;Adulto no reproductivo ;55,87;41,58;14,29;5,77;12,72;4,38;36,66;19,5
QCAZ9980;Rhynchonycteris naso;Fluido y seco;Viviana Narváez, Paula Iturralde, Ashley Anderson, Gabriela Arévalo;27/1/2008;Ecuador;Pastaza;;Área operación AGIP-Bloque 10, Campamento Villano B, Cercanias Río Lliquino;-1.45319;-77.442;390;Hembra;I: 3/3 C: 1/1 P: 2/2 M: 3/3;Presentes;NA;;Adulto no reproductivo ;48,94;36,28;12,66;6,77;13,47;4,22;33,34;17,08
QCAZ9981;Rhynchonycteris naso;Fluido;Viviana Narváez, Paula Iturralde, Ashley Anderson, Gabriela Arévalo;30/1/2008;Ecuador;Pastaza;;Área operación AGIP-Bloque 10, Campamento Villano B, Cercanias Río Lliquino;-1.45319;-77.442;390;Hembra;I: 1/3 C: 1/1 P: 2/2 M: 3/3;NA;NA;;Adulto no reproductivo ;50,23;37,93;12,3;6,5;14,3;3,89;35,58;18,04
QCAZ11787;Rhynchonycteris naso;Fluido y seco;Diego Tirira;24/3/2010;Ecuador;Napo;;Gareno, Río Gareno, junto al pozp de explotación Nemora, territorio huaorani;-1.0485;-77.3774;343-350;Macho;I: 1/3 C: 1/1 P: 2/2 M: 3/3;Ausentes;NA;;Adulto no reproductivo ;56,02;44,09;11,93;6,59;13,94;4,04;35,14;17,66
